Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1nF","C_0603_1608Metric",165.165000,-108.925000,-90.000000,top
"C2",".1uF","C_0603_1608Metric",163.675000,-108.925000,-90.000000,top
"C3","100 nF","C_0603_1608Metric",175.425000,-115.250000,0.000000,top
"C4","10uF","C_0603_1608Metric",162.165000,-108.925000,-90.000000,top
"C6","1nF","C_0603_1608Metric",170.025000,-112.375000,-90.000000,top
"C8","1nF","C_0603_1608Metric",198.010000,-111.250000,-90.000000,top
"C9",".1uF","C_0603_1608Metric",168.535000,-112.375000,-90.000000,top
"C10",".1uF","C_0603_1608Metric",199.500000,-111.250000,-90.000000,top
"C11","10uF","C_0603_1608Metric",167.024000,-112.375000,-90.000000,top
"C12",".1uF","C_0603_1608Metric",181.350000,-123.350000,-90.000000,top
"C13","10uF","C_0603_1608Metric",201.010000,-111.250000,-90.000000,top
"C14","1nF","C_1210_3225Metric",169.275000,-80.700000,0.000000,top
"C15",".1uF","C_1210_3225Metric",169.275000,-76.700000,0.000000,top
"C16",".1uF","C_0603_1608Metric",196.125000,-119.100000,0.000000,top
"C17",".1uF","C_0603_1608Metric",183.750000,-118.625000,-90.000000,top
"C18",".1uF","C_0603_1608Metric",194.700000,-124.050000,0.000000,top
"J1","HBOut","SMA_Molex_73251-2200_Horizontal",206.600000,-118.225000,-90.000000,top
"J2","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",165.250000,-85.675000,0.000000,top
"J4","HBOut","SMA_Molex_73251-2200_Horizontal",206.700000,-71.800000,-90.000000,top
"J5","HBOut","SMA_Molex_73251-2200_Horizontal",160.500000,-118.225000,90.000000,top
"J7","HV_in_external","SMA_Molex_73251-2200_Horizontal",160.460000,-77.540000,90.000000,top
"J8","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",204.575000,-101.525000,180.000000,top
"J9","SPI_left","PinHeader_1x06_P2.54mm_Vertical",157.950000,-102.250000,180.000000,top
"J10","SPI_right","PinHeader_1x06_P2.54mm_Vertical",208.575000,-96.500000,0.000000,top
"J12","Measures_Analog","PinHeader_1x04_P2.54mm_Vertical",208.550000,-92.100000,180.000000,top
"J14","Bias","PinHeader_1x12_P2.54mm_Horizontal",170.850000,-61.450000,90.000000,top
"JP3","Jumper_3_Bridged12","PinHeader_1x03_P2.54mm_Vertical",188.750000,-74.855000,0.000000,top
"JP4","Jumper_2_Bridged","PinHeader_1x02_P2.54mm_Vertical",183.980000,-74.855000,0.000000,top
"JP5","Jumper_2_Bridged","PinHeader_1x02_P2.54mm_Vertical",178.980000,-74.855000,0.000000,top
"R1","1k","R_0603_1608Metric",169.675000,-73.475000,0.000000,top
"R2","2k2","R_0603_1608Metric",200.050000,-118.650000,-90.000000,top
"R3","2k2","R_0603_1608Metric",165.725000,-118.975000,-90.000000,top
"R4","10k","R_0603_1608Metric",202.075000,-106.275000,-90.000000,top
"R6","0k","R_0603_1608Metric",191.750000,-116.750000,0.000000,top
"R10","22","R_0402_1005Metric",168.625000,-105.525000,0.000000,top
"R11","22","R_0402_1005Metric",165.615000,-105.650000,0.000000,top
"R12","22","R_0402_1005Metric",195.700000,-116.125000,90.000000,top
"R13","22","R_0402_1005Metric",196.650000,-116.125000,90.000000,top
"R14","22","R_0402_1005Metric",196.975000,-114.050000,180.000000,top
